Area,Sector,Residential No of Rooms,Looking For,Land Unit Value,Sales Cost (Local),Sales Limit Lower (Local),Sales Limit Upper (Local)
wuse,land,2,Buy a property,6,907738482,818553888,996923088
wuse,land,2,Buy a property,7,1059028229,954979536,1163076936
wuse,land,2,Buy a property,8,1210317976,1091405184,1329230784
wuse,land,2,Buy a property,9,1361607723,1227830832,1495384632
yaba,land,2,Buy a property,1,116649485,43298970,190000002
yaba,land,2,Buy a property,2,233298970,86597940,380000004
yaba,land,2,Buy a property,3,349948455,129896910,570000006
yaba,land,2,Buy a property,4,466597940,173195880,760000008
yaba,land,2,Buy a property,5,583247425,216494850,950000010
yaba,land,2,Buy a property,6,699896910,259793820,1140000012
yaba,land,2,Buy a property,7,816546395,303092790,1330000014
yaba,land,2,Buy a property,8,933195880,346391760,1520000016
yaba,land,2,Buy a property,9,1049845365,389690730,1710000018
airport-residential-area,land,2,Buy a property,1,7718968,7491000,7946934
airport-residential-area,land,2,Buy a property,2,15437936,14982000,15893868
airport-residential-area,land,2,Buy a property,3,23156904,22473000,23840802
airport-residential-area,land,2,Buy a property,4,30875872,29964000,31787736
airport-residential-area,land,2,Buy a property,5,38594840,37455000,39734670
airport-residential-area,land,2,Buy a property,6,46313808,44946000,47681604
airport-residential-area,land,2,Buy a property,7,54032776,52437000,55628538
airport-residential-area,land,2,Buy a property,8,61751744,59928000,63575472
airport-residential-area,land,2,Buy a property,9,69470712,67419000,71522406
cantonments,land,2,Buy a property,1,5317643,3015288,7620000
cantonments,land,2,Buy a property,2,10635286,6030576,15240000
cantonments,land,2,Buy a property,3,15952929,9045864,22860000
cantonments,land,2,Buy a property,4,21270572,12061152,30480000
cantonments,land,2,Buy a property,5,26588215,15076440,38100000
cantonments,land,2,Buy a property,6,31905858,18091728,45720000
cantonments,land,2,Buy a property,7,37223501,21107016,53340000
cantonments,land,2,Buy a property,8,42541144,24122304,60960000
cantonments,land,2,Buy a property,9,47858787,27137592,68580000
dzorwulu,land,2,Buy a property,1,3348667,3277332,3420000
dzorwulu,land,2,Buy a property,2,6697334,6554664,6840000
dzorwulu,land,2,Buy a property,3,10046001,9831996,10260000
dzorwulu,land,2,Buy a property,4,13394668,13109328,13680000
